"POLYID","year","month","tavg","mappet","irrig"
425023,1981,1,-18.8383870967742,0,0
425023,1981,2,-4.12285714285714,13.7934125710799,0
425023,1981,3,-1.29516129032258,3.76491901526464,0
425023,1981,4,5.70266666666667,1.75039227684523,0
425023,1981,5,11.9703225806452,1.31630649756042,0
425023,1981,6,17.0033333333333,1.04491697505436,0
425023,1981,7,19.8725806451613,0.579161616572681,0
425023,1981,8,18.2058064516129,1.29603368471686,0
425023,1981,9,13.387,2.11418022864244,0
425023,1981,10,4.69258064516129,4.57752311178165,0
425023,1981,11,-0.11,11.4814270932391,0
425023,1981,12,-6.69258064516129,222.263660270494,0
425023,1982,1,-19.5377419354839,0,0
425023,1982,2,-13.0578571428571,0,0
425023,1982,3,-6.50935483870968,29.6040212153475,0
425023,1982,4,2.48233333333333,1.732285974821,0
425023,1982,5,13.4832258064516,0.526001803791179,0
425023,1982,6,15.632,0.901546818008687,0
425023,1982,7,19.0929032258065,0.515293007177474,0
425023,1982,8,16.2287096774194,1.0327950037737,0
425023,1982,9,13.9196666666667,1.64119875025602,0
425023,1982,10,8.19806451612903,0.977053638284442,0
425023,1982,11,2.02666666666667,10.4469343786888,0
425023,1982,12,-5.30387096774194,35.9042097073353,0
425023,1983,1,-10.9358064516129,0,0
425023,1983,2,-10.4532142857143,0,0
425023,1983,3,-1.91709677419355,7.01558025084844,0
425023,1983,4,4.34833333333333,3.18500653143198,0
425023,1983,5,9.82612903225806,1.67230422821042,0
425023,1983,6,17.5273333333333,0.499812548075104,0
425023,1983,7,19.8716129032258,0.56513218246043,0
425023,1983,8,19.3748387096774,0.751810893607375,0
425023,1983,9,16.0026666666667,0.930972767396632,0
425023,1983,10,7.32903225806452,3.41066484605817,0
425023,1983,11,-0.098,24.3375262137319,0
425023,1983,12,-12.7312903225806,0,0
425023,1984,1,-15.6877419354839,0,0
425023,1984,2,-7.51896551724138,455.96577878149,0
425023,1984,3,-9.97,366.759445191267,0
425023,1984,4,6.082,2.05404318391631,0
425023,1984,5,10.1674193548387,1.63528056067342,0
425023,1984,6,17.1156666666667,0.59602709163759,0
425023,1984,7,19.2677419354839,0.582023744560234,0
425023,1984,8,19.7561290322581,1.30045740131386,0
425023,1984,9,13.0646666666667,0.397939075473496,0
425023,1984,10,9.01483870967742,1.011988484758,0
425023,1984,11,0.888,9.94137848970372,0
425023,1984,12,-6.30483870967742,461.408177539777,0
425023,1985,1,-15.9735483870968,0,0
425023,1985,2,-10.3028571428571,1423.16706704499,0
425023,1985,3,-5.79161290322581,62.1145825930319,0
425023,1985,4,3.718,1.85929773832517,0
425023,1985,5,11.6870967741935,0.641786923827192,0
425023,1985,6,14.7383333333333,1.17414002890256,0
425023,1985,7,18.3809677419355,0.797418416433809,0
